run_id,shape,m_local,K,N,q,window_mult,rep,exit_code,case_dir
wm_S4_d1_q4m1_rep1,S4,512,4096,4096,4,1,1,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m1_rep1
wm_S4_d1_q4m1_rep2,S4,512,4096,4096,4,1,2,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m1_rep2
wm_S4_d1_q4m1_rep3,S4,512,4096,4096,4,1,3,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m1_rep3
wm_S4_d1_q4m2_rep1,S4,512,4096,4096,4,2,1,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m2_rep1
wm_S4_d1_q4m2_rep2,S4,512,4096,4096,4,2,2,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m2_rep2
wm_S4_d1_q4m2_rep3,S4,512,4096,4096,4,2,3,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m2_rep3
wm_S4_d1_q4m4_rep1,S4,512,4096,4096,4,4,1,137,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m4_rep1
wm_S4_d1_q4m4_rep2,S4,512,4096,4096,4,4,2,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m4_rep2
wm_S4_d1_q4m4_rep3,S4,512,4096,4096,4,4,3,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q4m4_rep3
wm_S4_d1_q8m1_rep1,S4,512,4096,4096,8,1,1,137,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q8m1_rep1
wm_S4_d1_q8m1_rep2,S4,512,4096,4096,8,1,2,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q8m1_rep2
wm_S4_d1_q8m1_rep3,S4,512,4096,4096,8,1,3,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q8m1_rep3
wm_S4_d1_q8m2_rep1,S4,512,4096,4096,8,2,1,0,/root/second_nvidia/phaseb-nvidia-port/results/window_mult_20260902T163116Z/wm_S4_d1_q8m2_rep1
