scope,run_id,timestamp_utc,host,gpu_model,device,rank,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iteration_index,status,correctness,max_abs_error,max_rel_error,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,e2e_us,log_path,window
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:27Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,0,PASS,1,0,0,250.687986612,250.687986612,264.800012112,268.3840096,4124.8960495,4128.54385376,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:27Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,1,PASS,1,0,0,337.280005217,337.280005217,351.615995169,355.103999376,4040.95983505,4044.47984695,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:27Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,2,PASS,1,0,0,576.448023319,576.448023319,590.431988239,593.952000141,4267.61579514,4271.13580704,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:27Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,3,PASS,1,0,0,369.439989328,369.439989328,383.807986975,387.327998877,4058.81595612,4062.33596802,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:27Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,4,PASS,1,0,0,349.375993013,349.375993013,363.584011793,367.103993893,4038.84792328,4042.39988327,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:27Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,5,PASS,1,0,0,470.94398737,470.94398737,485.056012869,488.575994968,4162.43219376,4165.95220566,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:27Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,6,PASS,1,0,0,434.783995152,434.783995152,448.895990849,452.704012394,4123.58379364,4127.10380554,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,7,PASS,1,0,0,442.463994026,442.463994026,456.735998392,460.256010294,4129.72784042,4133.24785233,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,8,PASS,1,0,0,442.687988281,442.687988281,456.959992647,460.512012243,4133.15200806,4136.70396805,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,9,PASS,1,0,0,486.239999533,486.239999533,500.608026981,504.127979279,4175.93622208,4179.48818207,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,10,PASS,1,0,0,446.047991514,446.047991514,460.031986237,463.519990444,4135.58387756,4139.13583755,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,11,PASS,1,0,0,354.272007942,354.272007942,368.416011333,371.903985739,4040.86399078,4044.38400269,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,12,PASS,1,0,0,351.583987474,351.583987474,365.75999856,369.311988354,4045.44019699,4049.34406281,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,13,PASS,1,0,0,435.487985611,435.487985611,449.568003416,453.087985516,4126.20782852,4129.75978851,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,14,PASS,1,0,0,426.367998123,426.367998123,440.863996744,444.480001926,4114.81618881,4118.33620071,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,15,PASS,1,0,0,629.535973072,629.535973072,643.999993801,647.552013397,4318.1438446,4321.6958046,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,16,PASS,1,0,0,414.847999811,414.847999811,429.215997458,432.704001665,4103.04021835,4106.59217834,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,17,PASS,1,0,0,476.99201107,476.99201107,491.232007742,494.688004255,4166.68796539,4170.20797729,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,18,PASS,1,0,0,425.37599802,425.37599802,439.648002386,443.071991205,4112.99180984,4116.54376984,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,19,PASS,1,0,0,449.344009161,449.344009161,463.679999113,467.200011015,4142.01593399,4145.53594589,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,20,PASS,1,0,0,325.664013624,325.664013624,339.776009321,343.327999115,4020.48015594,4024.03211594,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,21,PASS,1,0,0,476.895987988,476.895987988,490.943998098,494.46401,4177.59990692,4181.11991882,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,22,PASS,1,0,0,429.663985968,429.663985968,443.744003773,447.423994541,4120.38421631,4123.90422821,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,23,PASS,1,0,0,462.271988392,462.271988392,476.352006197,479.871988297,4153.21588516,4156.73589706,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,24,PASS,1,0,0,471.904009581,471.904009581,486.144006252,489.663988352,4161.92007065,4165.44008255,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:28Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,25,PASS,1,0,0,465.887993574,465.887993574,479.903995991,483.424007893,4154.43181992,4157.95183182,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,26,PASS,1,0,0,421.151995659,421.151995659,435.519993305,439.072012901,4112.12778091,4115.68021774,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,27,PASS,1,0,0,474.272012711,474.272012711,488.575994968,492.09600687,4175.80795288,4179.32796478,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,28,PASS,1,0,0,433.472007513,433.472007513,447.647988796,451.200008392,4121.9201088,4125.50401688,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,29,PASS,1,0,0,410.879999399,410.879999399,425.02400279,428.544014692,4099.32804108,4102.84805298,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,30,PASS,1,0,0,428.351998329,428.351998329,442.431986332,445.951998234,4126.71995163,4130.27191162,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,31,PASS,1,0,0,428.000003099,428.000003099,441.920012236,445.439994335,4126.52778625,4130.04779816,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,32,PASS,1,0,0,352.512001991,352.512001991,366.560012102,370.079994202,4041.21589661,4044.73590851,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,33,PASS,1,0,0,438.11199069,438.11199069,452.223986387,455.743998289,4125.8559227,4129.60004807,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
global_max,stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T03:39:29Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,34,PASS,1,0,0,436.479985714,436.479985714,450.720012188,454.239994287,4894.46401596,4898.39982986,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_DEFAULT_S4_m512k4096n4096_q4w0_rep1/rank{rank}.log,0
